timestamp,ticker,strike_price,crypto_price,mins_left,yes_ask,no_ask,yes_bid,no_bid,yes_depth_1,yes_depth_3,yes_depth_all,no_depth_1,no_depth_3,no_depth_all,yes_levels,no_levels,spread
2026-03-05T22:45:07.409385+00:00,KXBTC15M-26MAR051800-00,71258.45,71277.6,14.88,48,53,47,52,16710,17310,20824,17210,17810,20218,46,38,1
2026-03-05T22:45:13.833235+00:00,KXBTC15M-26MAR051800-00,71258.45,71303.1,14.77,58,43,57,42,16691,17291,42520,61374,62756,67559,53,38,1
2026-03-05T22:45:16.650105+00:00,KXBTC15M-26MAR051800-00,71258.45,71303.1,14.72,58,43,57,42,16692,17292,56614,61374,62866,67934,53,37,1
2026-03-05T22:45:17.673205+00:00,KXBTC15M-26MAR051800-00,71258.45,71303.1,14.71,58,43,57,42,16692,17293,42578,150641,152149,155682,52,37,1
2026-03-05T22:45:18.599718+00:00,KXBTC15M-26MAR051800-00,71258.45,71303.1,14.69,58,43,57,42,16692,17293,42637,106458,107966,112301,53,38,1
2026-03-05T22:45:19.703987+00:00,KXBTC15M-26MAR051800-00,71258.45,71303.1,14.67,58,43,57,42,105060,105661,128086,61456,62948,67647,59,36,1
2026-03-05T22:45:22.061147+00:00,KXBTC15M-26MAR051800-00,71258.45,71303.1,14.64,64,37,63,36,17652,18253,48697,18952,20444,29596,58,35,1
2026-03-05T22:45:24.164714+00:00,KXBTC15M-26MAR051800-00,71258.45,71303.1,14.6,64,37,63,36,62836,63438,88986,108338,109846,118968,57,35,1
2026-03-05T22:45:24.837026+00:00,KXBTC15M-26MAR051800-00,71258.45,71303.1,14.59,64,37,63,36,62835,63437,89051,108338,109847,118966,58,35,1
2026-03-05T22:45:27.079142+00:00,KXBTC15M-26MAR051800-00,71258.45,71303.9,14.55,64,37,63,36,107019,107621,128423,19952,21445,25572,47,34,1
2026-03-05T22:45:28.148615+00:00,KXBTC15M-26MAR051800-00,71258.45,71303.9,14.53,64,37,63,36,107020,107622,128969,19952,21445,25143,55,33,1
2026-03-05T22:45:29.155400+00:00,KXBTC15M-26MAR051800-00,71258.45,71303.9,14.52,64,37,63,36,62836,63438,82902,19952,21525,25503,54,33,1
2026-03-05T22:45:31.392488+00:00,KXBTC15M-26MAR051800-00,71258.45,71303.9,14.48,64,37,63,36,107000,137058,161411,19932,21425,31863,56,34,1
2026-03-05T22:45:32.106086+00:00,KXBTC15M-26MAR051800-00,71258.45,71323.7,14.47,66,36,64,34,106999,137057,161086,108318,109827,119961,54,33,2
2026-03-05T22:45:34.437186+00:00,KXBTC15M-26MAR051800-00,71258.45,71323.7,14.43,66,36,64,34,106999,137057,161569,108318,109827,119200,59,23,2
2026-03-05T22:45:35.315868+00:00,KXBTC15M-26MAR051800-00,71258.45,71323.7,14.41,66,36,64,34,106999,137057,156742,108318,109827,119544,56,27,2
2026-03-05T22:45:36.430350+00:00,KXBTC15M-26MAR051800-00,71258.45,71323.8,14.4,66,36,64,34,107000,137082,157004,19933,21450,26064,61,25,2
2026-03-05T22:45:37.250075+00:00,KXBTC15M-26MAR051800-00,71258.45,71323.8,14.38,66,36,64,34,107001,137130,157929,19933,21497,26811,62,28,2
2026-03-05T22:45:38.112813+00:00,KXBTC15M-26MAR051800-00,71258.45,71323.8,14.37,66,36,64,34,107289,137418,158143,20221,21785,27020,63,27,2
2026-03-05T22:45:39.401319+00:00,KXBTC15M-26MAR051800-00,71258.45,71323.8,14.34,66,36,64,34,107288,137417,163134,20221,21785,32449,63,27,2
2026-03-05T22:45:40.304337+00:00,KXBTC15M-26MAR051800-00,71258.45,71329.8,14.33,66,36,64,34,107289,137418,163581,20221,21785,31782,62,27,2
2026-03-05T22:45:41.189616+00:00,KXBTC15M-26MAR051800-00,71258.45,71329.8,14.31,66,36,64,34,107248,137377,163541,20181,21745,31956,63,27,2
2026-03-05T22:45:42.158927+00:00,KXBTC15M-26MAR051800-00,71258.45,71329.7,14.3,69,32,68,31,107248,137377,163509,20181,21745,31982,61,28,1
2026-03-05T22:45:43.161628+00:00,KXBTC15M-26MAR051800-00,71258.45,71329.7,14.28,69,32,68,31,107248,137377,163211,20181,21745,31675,62,29,1
2026-03-05T22:45:43.495964+00:00,KXBTC15M-26MAR051800-00,71258.45,71329.7,14.28,69,32,68,31,107248,137377,163229,20181,21745,31741,62,29,1
2026-03-05T22:45:44.241458+00:00,KXBTC15M-26MAR051800-00,71258.45,71329.8,14.27,69,32,68,31,107249,107922,148741,19380,49618,61540,62,29,1
2026-03-05T22:45:44.479068+00:00,KXBTC15M-26MAR051800-00,71258.45,71329.8,14.26,69,32,68,31,107248,107921,149160,19380,49618,61543,61,29,1
2026-03-05T22:45:47.529547+00:00,KXBTC15M-26MAR051800-00,71258.45,71329.8,14.21,69,32,68,31,107249,107922,248724,19385,57719,162645,63,29,1
2026-03-05T22:45:48.580488+00:00,KXBTC15M-26MAR051800-00,71258.45,71329.8,14.19,69,32,68,31,107249,107922,248723,19385,57719,163098,63,30,1
