timestamp,ticker,strike_price,result,final_yes_price,final_no_price
2026-03-05T22:46:47.761628+00:00,KXBTC15M-26MAR051745-45,71145.29,yes,100,100
2026-03-05T22:46:48.588581+00:00,KXBTC15M-26MAR051745-45,71145.29,yes,100,100
2026-03-05T22:46:48.619148+00:00,KXBTC15M-26MAR051745-45,71145.29,yes,100,100
2026-03-05T22:46:48.933489+00:00,KXBTC15M-26MAR051745-45,71145.29,yes,100,100
2026-03-05T23:01:29.507922+00:00,KXBTC15M-26MAR051800-00,71258.45,no,100,100
2026-03-05T23:16:29.799020+00:00,KXBTC15M-26MAR051815-15,71241.01,no,100,100
2026-03-05T23:31:46.879817+00:00,KXBTC15M-26MAR051830-30,71212.63,yes,100,100
2026-03-05T23:46:37.792313+00:00,KXBTC15M-26MAR051845-45,71290.73,no,100,100
2026-03-06T00:02:02.892213+00:00,KXBTC15M-26MAR051900-00,70939.92,no,100,100
2026-03-06T00:16:44.638896+00:00,KXBTC15M-26MAR051915-15,70868.51,yes,100,100
2026-03-06T00:31:32.216451+00:00,KXBTC15M-26MAR051930-30,71034.62,no,100,100
2026-03-06T00:47:03.178881+00:00,KXBTC15M-26MAR051945-45,70922.42,yes,100,100
2026-03-06T01:01:37.546421+00:00,KXBTC15M-26MAR052000-00,70948.33,no,100,100
2026-03-06T01:16:30.710006+00:00,KXBTC15M-26MAR052015-15,70941.84,no,100,100
2026-03-06T01:31:29.519531+00:00,KXBTC15M-26MAR052030-30,70800.76,no,100,100
2026-03-06T01:46:42.638316+00:00,KXBTC15M-26MAR052045-45,70452.92,yes,100,100
2026-03-06T02:01:30.906696+00:00,KXBTC15M-26MAR052100-00,71144.85,yes,100,100
2026-03-06T02:16:24.226177+00:00,KXBTC15M-26MAR052115-15,71255.59,yes,100,1
2026-03-06T02:31:52.060609+00:00,KXBTC15M-26MAR052130-30,71335.96,no,1,100
2026-03-06T02:46:33.273506+00:00,KXBTC15M-26MAR052145-45,71326.53,yes,100,1
2026-03-06T03:01:28.175836+00:00,KXBTC15M-26MAR052200-00,71338.37,no,1,100
2026-03-06T03:16:54.051782+00:00,KXBTC15M-26MAR052215-15,71247.87,no,1,100
2026-03-06T03:31:36.196064+00:00,KXBTC15M-26MAR052230-30,71062.49,yes,100,1
2026-03-06T03:46:37.330815+00:00,KXBTC15M-26MAR052245-45,71166.25,no,1,100
2026-03-06T04:01:51.830756+00:00,KXBTC15M-26MAR052300-00,71115.81,no,1,100
2026-03-06T04:16:43.369690+00:00,KXBTC15M-26MAR052315-15,71092.92,no,1,100
2026-03-06T04:31:32.549293+00:00,KXBTC15M-26MAR052330-30,70923.42,no,1,100
2026-03-06T04:46:55.096235+00:00,KXBTC15M-26MAR052345-45,70898.4,no,1,100
2026-03-06T05:01:41.817211+00:00,KXBTC15M-26MAR060000-00,70520.26,yes,100,100
2026-03-06T05:16:41.201478+00:00,KXBTC15M-26MAR060015-15,70614.74,no,1,100
2026-03-06T05:31:22.923213+00:00,KXBTC15M-26MAR060030-30,70507.4,no,100,100
2026-03-06T05:46:48.807076+00:00,KXBTC15M-26MAR060045-45,70400.4,no,1,100
2026-03-06T06:01:31.491384+00:00,KXBTC15M-26MAR060100-00,70238.82,yes,100,100
2026-03-06T06:16:25.059274+00:00,KXBTC15M-26MAR060115-15,70441.32,no,1,100
2026-03-06T06:31:59.155975+00:00,KXBTC15M-26MAR060130-30,70314.63,yes,100,100
2026-03-06T06:46:56.545858+00:00,KXBTC15M-26MAR060145-45,70434.51,yes,100,100
2026-03-06T07:01:31.783221+00:00,KXBTC15M-26MAR060200-00,70646.61,no,100,100
2026-03-06T07:16:31.433351+00:00,KXBTC15M-26MAR060215-15,70633.58,no,1,100
2026-03-06T07:31:40.976250+00:00,KXBTC15M-26MAR060230-30,70578.29,yes,100,100
2026-03-06T07:46:43.266596+00:00,KXBTC15M-26MAR060245-45,70867.61,yes,100,100
2026-03-06T08:09:30.275485+00:00,KXBTC15M-26MAR060300-00,71053.39,yes,100,100
2026-03-06T08:16:33.387709+00:00,KXBTC15M-26MAR060315-15,71073.8,no,100,100
2026-03-06T08:31:31.807304+00:00,KXBTC15M-26MAR060330-30,70962.78,no,100,100
2026-03-06T08:46:42.912258+00:00,KXBTC15M-26MAR060345-45,70932.57,yes,100,100
2026-03-06T09:01:41.996835+00:00,KXBTC15M-26MAR060400-00,70933.45,no,100,100
2026-03-06T09:17:13.640823+00:00,KXBTC15M-26MAR060415-15,70764.57,no,100,100
2026-03-06T09:31:42.711430+00:00,KXBTC15M-26MAR060430-30,70569.27,no,100,100
2026-03-06T09:46:46.419347+00:00,KXBTC15M-26MAR060445-45,70409.66,yes,100,100
2026-03-06T10:01:23.556597+00:00,KXBTC15M-26MAR060500-00,70527.75,yes,100,100
2026-03-06T10:16:38.943588+00:00,KXBTC15M-26MAR060515-15,70572.18,yes,100,100
2026-03-06T10:31:36.641085+00:00,KXBTC15M-26MAR060530-30,70645.27,yes,100,100
2026-03-06T10:46:27.873146+00:00,KXBTC15M-26MAR060545-45,70749.39,no,100,100
2026-03-06T11:01:29.251816+00:00,KXBTC15M-26MAR060600-00,70542,yes,100,100
2026-03-06T11:16:40.949328+00:00,KXBTC15M-26MAR060615-15,70551.1,yes,100,100
2026-03-06T11:32:02.030396+00:00,KXBTC15M-26MAR060630-30,70556.29,yes,100,100
2026-03-06T11:46:50.541310+00:00,KXBTC15M-26MAR060645-45,70564.57,no,100,100
2026-03-06T12:01:28.886193+00:00,KXBTC15M-26MAR060700-00,70414.15,no,100,100
2026-03-06T12:16:41.189754+00:00,KXBTC15M-26MAR060715-15,70217.97,no,100,100
2026-03-06T12:32:02.704041+00:00,KXBTC15M-26MAR060730-30,69929.7,yes,100,100
2026-03-06T12:46:41.666490+00:00,KXBTC15M-26MAR060745-45,70031.84,no,1,100
2026-03-06T13:01:44.684731+00:00,KXBTC15M-26MAR060800-00,69764.97,yes,100,100
2026-03-06T13:16:34.142767+00:00,KXBTC15M-26MAR060815-15,69980.01,yes,100,1
2026-03-06T13:31:32.988342+00:00,KXBTC15M-26MAR060830-30,70015.13,yes,100,1
2026-03-06T13:47:00.041277+00:00,KXBTC15M-26MAR060845-45,70113.75,no,1,100
2026-03-06T14:07:12.329486+00:00,KXBTC15M-26MAR060900-00,70083.68,no,100,100
2026-03-06T14:16:43.535936+00:00,KXBTC15M-26MAR060915-15,0,no,100,100
2026-03-06T14:31:33.436165+00:00,KXBTC15M-26MAR060930-30,68804.13,yes,100,100
2026-03-06T14:46:24.818471+00:00,KXBTC15M-26MAR060945-45,69032.89,no,100,100
2026-03-06T15:01:31.986520+00:00,KXBTC15M-26MAR061000-00,68756.89,no,100,100
2026-03-06T15:16:43.078202+00:00,KXBTC15M-26MAR061015-15,68317.19,yes,100,100
2026-03-06T15:31:43.802005+00:00,KXBTC15M-26MAR061030-30,68577.33,yes,100,1
2026-03-06T15:46:33.880857+00:00,KXBTC15M-26MAR061045-45,68839.62,no,1,100
2026-03-06T16:06:49.418330+00:00,KXBTC15M-26MAR061100-00,68751.75,no,100,100
2026-03-06T16:16:46.273873+00:00,KXBTC15M-26MAR061115-15,0,no,100,100
