timestamp,ticker,strike_price,crypto_price,mins_left,yes_ask,no_ask,yes_bid,no_bid,yes_depth_1,yes_depth_3,yes_depth_all,no_depth_1,no_depth_3,no_depth_all,yes_levels,no_levels,spread
2026-03-05T22:45:11.919920+00:00,KXETH15M-26MAR051800-00,2082.5,2082.71,14.81,48,53,47,52,105,15915,15965,305,16115,16165,14,14,1
2026-03-05T22:45:12.920796+00:00,KXETH15M-26MAR051800-00,2082.5,2082.71,14.79,48,53,47,52,105,15915,15965,23945,23945,24006,14,13,1
2026-03-05T22:45:15.990675+00:00,KXETH15M-26MAR051800-00,2082.5,2082.71,14.74,48,53,47,52,66297,66297,73477,33451,33755,40719,13,15,1
2026-03-05T22:45:17.919840+00:00,KXETH15M-26MAR051800-00,2082.5,2082.71,14.7,48,53,47,52,35101,35101,42281,35351,35655,42619,13,15,1
2026-03-05T22:45:19.044985+00:00,KXETH15M-26MAR051800-00,2082.5,2082.71,14.69,48,53,47,52,35101,35101,42281,35351,35655,42619,13,15,1
2026-03-05T22:45:22.181962+00:00,KXETH15M-26MAR051800-00,2082.5,2082.71,14.63,48,53,47,52,35101,35101,42281,35351,35655,42619,13,15,1
2026-03-05T22:45:23.118089+00:00,KXETH15M-26MAR051800-00,2082.5,2082.71,14.62,48,53,47,52,35101,35101,42281,35351,35655,42619,13,15,1
2026-03-05T22:45:26.192007+00:00,KXETH15M-26MAR051800-00,2082.5,2083.53,14.57,48,53,47,52,68197,90261,99472,2255,19107,27975,17,15,1
2026-03-05T22:45:29.482312+00:00,KXETH15M-26MAR051800-00,2082.5,2083.23,14.51,48,53,47,52,2005,24069,33270,2255,24623,35833,17,14,1
2026-03-05T22:45:30.471383+00:00,KXETH15M-26MAR051800-00,2082.5,2083.47,14.49,48,53,47,52,35101,35101,47409,2255,24623,35823,13,14,1
2026-03-05T22:45:30.597091+00:00,KXETH15M-26MAR051800-00,2082.5,2083.47,14.5,48,53,47,52,0,0,0,0,0,0,0,0,1
2026-03-05T22:45:42.739905+00:00,KXETH15M-26MAR051800-00,2082.5,2083.47,14.29,64,40,60,36,68207,90271,99461,2265,24329,35811,17,15,4
2026-03-05T22:45:43.920295+00:00,KXETH15M-26MAR051800-00,2082.5,2083.47,14.27,61,43,57,39,68207,90271,99461,2265,24329,34199,17,15,4
2026-03-05T22:45:45.699567+00:00,KXETH15M-26MAR051800-00,2082.5,2083.47,14.24,61,43,57,39,68207,90271,99514,2265,24329,35817,16,17,4
2026-03-05T22:45:46.993317+00:00,KXETH15M-26MAR051800-00,2082.5,2083.47,14.22,61,43,57,39,35111,35111,146746,2265,24329,128335,20,19,4
2026-03-05T22:45:47.838574+00:00,KXETH15M-26MAR051800-00,2082.5,2083.47,14.2,61,43,57,39,68207,90271,192930,2265,24329,129517,21,21,4
2026-03-05T22:45:48.759179+00:00,KXETH15M-26MAR051800-00,2082.5,2083.47,14.19,61,43,57,39,35111,35111,146648,2265,24329,128138,21,20,4
2026-03-05T22:45:48.829415+00:00,KXETH15M-26MAR051800-00,2082.5,2083.47,14.19,61,43,57,39,35111,35111,146648,2265,24329,128138,21,20,4
2026-03-05T22:45:51.969282+00:00,KXETH15M-26MAR051800-00,2082.5,2083.53,14.14,61,43,57,39,35111,35111,146698,2265,10265,114358,27,24,4
2026-03-05T22:45:52.912718+00:00,KXETH15M-26MAR051800-00,2082.5,2083.53,14.12,61,43,57,39,35111,35111,146774,2265,32329,128195,26,27,4
2026-03-05T22:45:56.107048+00:00,KXETH15M-26MAR051800-00,2082.5,2083.53,14.07,64,39,61,36,35111,35111,146885,2266,32331,127888,30,29,3
2026-03-05T22:45:59.296273+00:00,KXETH15M-26MAR051800-00,2082.5,2083.53,14.02,64,39,61,36,68207,90271,199342,2266,2267,118955,32,33,3
2026-03-05T22:46:02.192344+00:00,KXETH15M-26MAR051800-00,2082.5,2083.53,13.97,64,39,61,36,68207,90318,194695,2266,2314,112916,31,26,3
2026-03-05T22:46:04.545901+00:00,KXETH15M-26MAR051800-00,2082.5,2083.67,13.93,65,38,62,35,68207,90385,199717,2266,2381,112985,34,28,3
2026-03-05T22:46:05.599534+00:00,KXETH15M-26MAR051800-00,2082.5,2083.67,13.91,65,38,62,35,68398,90576,200724,2457,2572,113286,35,29,3
2026-03-05T22:46:08.573293+00:00,KXETH15M-26MAR051800-00,2082.5,2083.67,13.86,65,38,62,35,68398,90576,200930,2457,2572,119783,37,26,3
2026-03-05T22:46:10.398099+00:00,KXETH15M-26MAR051800-00,2082.5,2083.67,13.83,65,38,62,35,68398,90576,199856,2457,19120,123523,39,27,3
2026-03-05T22:46:11.734071+00:00,KXETH15M-26MAR051800-00,2082.5,2083.67,13.81,65,38,62,35,0,0,0,0,0,0,0,0,3
2026-03-05T22:46:12.604165+00:00,KXETH15M-26MAR051800-00,2082.5,2083.93,13.79,65,38,62,35,68398,90576,190710,2457,19120,123250,37,25,3
2026-03-05T22:46:14.593790+00:00,KXETH15M-26MAR051800-00,2082.5,2083.93,13.76,68,35,65,32,68398,90576,199860,2457,19120,123409,40,27,3
2026-03-05T22:46:15.781978+00:00,KXETH15M-26MAR051800-00,2082.5,2083.93,13.74,68,35,65,32,68398,90576,199800,2457,19120,123409,39,28,3
2026-03-05T22:46:16.668682+00:00,KXETH15M-26MAR051800-00,2082.5,2083.93,13.72,68,35,65,32,68398,90576,199852,2457,19120,123409,40,28,3
2026-03-05T22:46:17.791995+00:00,KXETH15M-26MAR051800-00,2082.5,2083.93,13.71,68,35,65,32,68398,90578,199954,2457,19121,123462,39,27,3
2026-03-05T22:46:18.651951+00:00,KXETH15M-26MAR051800-00,2082.5,2084.34,13.69,68,35,65,32,68398,90578,199747,2457,19121,123465,40,27,3
2026-03-05T22:46:19.669950+00:00,KXETH15M-26MAR051800-00,2082.5,2084.34,13.67,68,35,65,32,68398,90578,199863,2457,19121,123367,40,27,3
2026-03-05T22:46:20.664121+00:00,KXETH15M-26MAR051800-00,2082.5,2084.34,13.66,68,35,65,32,68398,90578,199865,2457,19121,123493,41,27,3
2026-03-05T22:46:21.736597+00:00,KXETH15M-26MAR051800-00,2082.5,2084.34,13.64,68,35,65,32,68398,90578,199861,2457,19121,123425,41,27,3
2026-03-05T22:46:23.888208+00:00,KXETH15M-26MAR051800-00,2082.5,2084.34,13.61,67,34,66,33,0,0,0,0,0,0,0,0,1
2026-03-05T22:46:24.801334+00:00,KXETH15M-26MAR051800-00,2082.5,2084.34,13.59,67,34,66,33,68398,85062,193452,2457,2573,119561,43,29,1
2026-03-05T22:46:28.099440+00:00,KXETH15M-26MAR051800-00,2082.5,2083.85,13.53,67,34,66,33,68398,85062,194449,2457,2573,120865,46,29,1
2026-03-05T22:46:33.285327+00:00,KXETH15M-26MAR051800-00,2082.5,2083.87,13.45,67,34,66,33,68398,85062,194461,2457,2573,120866,45,31,1
