timestamp,ticker,strike_price,crypto_price,mins_left,yes_ask,no_ask,yes_bid,no_bid,yes_depth_1,yes_depth_3,yes_depth_all,no_depth_1,no_depth_3,no_depth_all,yes_levels,no_levels,spread
2026-03-05T22:45:22.743777+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40806,14.63,84,54,46,16,15,15,117,27,39,66,3,4,38
2026-03-05T22:45:26.747929+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40806,14.56,84,54,46,16,15,15,5416,27,39,5361,7,7,38
2026-03-05T22:45:27.804153+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40806,14.54,84,54,46,16,15,15,5417,27,39,5362,8,8,38
2026-03-05T22:45:28.711645+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40806,14.52,84,54,46,16,15,15,5417,27,39,5362,8,8,38
2026-03-05T22:45:29.834450+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40806,14.51,84,54,46,16,15,15,5496,27,39,5336,9,8,38
2026-03-05T22:45:30.819240+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40825,14.49,70,34,66,30,15,15,5550,27,39,5380,10,9,4
2026-03-05T22:45:31.697389+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40825,14.47,70,34,66,30,15,15,5550,27,39,5380,10,9,4
2026-03-05T22:45:33.916229+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40825,14.44,70,34,66,30,15,15,5533,27,39,5481,10,10,4
2026-03-05T22:45:34.761296+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40825,14.42,70,34,66,30,15,15,5533,27,39,5481,10,10,4
2026-03-05T22:45:35.046046+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40825,14.42,70,34,66,30,15,15,5545,27,39,5471,10,10,4
2026-03-05T22:45:36.273863+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40825,14.4,70,34,66,30,25,25,5541,27,39,5470,9,10,4
2026-03-05T22:45:57.802438+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40858,14.04,65,39,61,35,190,245,91362,203,270,91470,21,19,4
2026-03-05T22:45:58.502983+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40858,14.03,65,39,61,35,190,245,91363,203,270,91473,21,20,4
2026-03-05T22:45:59.471620+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40858,14.01,65,39,61,35,190,245,91203,203,270,91454,22,20,4
2026-03-05T22:46:00.649238+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40858,13.99,65,39,61,35,0,0,0,0,0,0,0,0,4
2026-03-05T22:46:00.713649+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40858,13.99,65,38,62,35,190,245,91233,203,270,91368,23,19,3
2026-03-05T22:46:01.432131+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40858,13.98,65,38,62,35,190,245,91234,203,270,91368,24,19,3
2026-03-05T22:46:02.189393+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40858,13.97,65,38,62,35,190,245,91335,203,270,91378,27,20,3
2026-03-05T22:46:06.166488+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40858,13.9,65,38,62,35,190,245,91503,203,270,91488,31,23,3
2026-03-05T22:46:07.017401+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40858,13.89,65,38,62,35,190,245,91503,203,270,91368,32,24,3
2026-03-05T22:46:07.979998+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40858,13.87,65,38,62,35,190,245,82192,203,270,82193,30,24,3
2026-03-05T22:46:41.949699+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40875,13.3,63,38,62,37,0,0,0,0,0,0,0,0,1
2026-03-05T22:46:42.118270+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40875,13.3,63,38,62,37,191,246,91309,203,270,91399,50,34,1
2026-03-05T22:46:44.311584+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40868,13.26,63,38,62,37,191,246,91303,203,270,91400,50,34,1
2026-03-05T22:46:45.310458+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40868,13.25,63,38,62,37,191,246,91306,203,270,91306,48,33,1
2026-03-05T22:46:45.375744+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40868,13.25,63,38,62,37,191,246,80906,203,270,82306,47,32,1
2026-03-05T22:46:46.230035+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40868,13.23,63,38,62,37,191,246,91306,203,270,91306,48,32,1
2026-03-05T22:46:47.115087+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40868,13.22,63,38,62,37,191,246,91483,203,270,91306,49,32,1
2026-03-05T22:46:48.107626+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40868,13.2,63,38,62,37,191,246,91483,203,270,91306,49,32,1
2026-03-05T22:46:50.483649+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40868,13.16,63,38,62,37,191,246,91522,203,270,91195,48,36,1
2026-03-05T22:46:55.615271+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40868,13.08,57,47,53,43,191,246,91522,203,270,91292,50,37,4
2026-03-05T22:47:04.019573+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40824,12.93,54,50,50,46,191,246,91385,203,270,91554,49,41,4
2026-03-05T22:47:04.675276+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40824,12.92,54,50,50,46,191,246,91385,203,270,91374,49,40,4
2026-03-05T22:47:11.204180+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40824,12.81,51,51,49,49,191,246,91365,203,270,91579,49,43,2
2026-03-05T22:47:11.802715+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40824,12.8,51,51,49,49,0,0,0,0,0,0,0,0,2
2026-03-05T22:47:14.355311+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40824,12.76,51,51,49,49,191,246,91365,203,270,91401,49,43,2
2026-03-05T22:47:15.386339+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40824,12.75,51,51,49,49,191,246,91365,203,270,91401,49,43,2
2026-03-05T22:47:17.404591+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40824,12.71,51,51,49,49,191,246,91528,203,270,91559,49,42,2
2026-03-05T22:47:18.004034+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40824,12.7,51,51,49,49,191,246,82395,203,270,80906,52,42,2
2026-03-05T22:47:22.502962+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40825,12.63,57,45,55,43,191,246,90137,203,270,90026,55,41,2
2026-03-05T22:47:23.474973+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40825,12.61,57,45,55,43,191,246,91387,203,270,91276,55,41,2
2026-03-05T22:47:24.495676+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40825,12.59,57,45,55,43,191,246,91387,203,270,91276,55,41,2
2026-03-05T22:47:25.266028+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40825,12.58,57,45,55,43,191,246,91303,203,270,91260,56,41,2
2026-03-05T22:47:27.361865+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40826,12.55,57,45,55,43,191,246,91547,203,270,91393,54,39,2
2026-03-05T22:47:27.642195+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40826,12.54,57,45,55,43,191,246,91547,203,270,91393,54,39,2
2026-03-05T22:47:28.629132+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40826,12.53,57,45,55,43,191,246,91547,203,270,91393,54,39,2
2026-03-05T22:47:29.536425+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40826,12.51,57,45,55,43,191,246,91537,203,270,91393,52,39,2
2026-03-05T22:47:35.010231+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40826,12.42,56,46,54,44,191,246,91383,203,270,91345,54,40,2
2026-03-05T22:47:36.081205+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40826,12.4,56,46,54,44,191,246,91383,203,270,91345,54,40,2
2026-03-05T22:47:36.684042+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40826,12.39,56,46,54,44,191,246,91383,203,270,91345,54,40,2
2026-03-05T22:47:48.116021+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40826,12.2,59,46,54,41,191,246,91285,203,270,91401,54,40,5
2026-03-05T22:47:48.978211+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40826,12.19,59,46,54,41,191,246,91365,203,270,91534,56,40,5
2026-03-05T22:47:49.119132+00:00,KXXRP15M-26MAR051800-00,1.4078,1.40826,12.18,59,46,54,41,191,246,91215,203,270,91474,55,39,5
